PARTICIPANT_CODE,DISTRICT,POSTCODE
0435969JSE,KLERKSDORP,9660
0435399HST,MOOI RIVER,3301
0435400HST,WINDHOEK,9000
0435426HST,LICHTENBURG,2610
0435439HST,HUMANSDORP,6300
0435441HST,BRONKHORSTSPRUIT,1665
0435548HST,EXCELSIOR,9760
0435672JSE,HOWICK,3200
0435660JSE,PIET RETIEF(TVL),2380
0435168JSE,BULTFONTEIN,9670
0434783HST,HUMANSDORP,6400
0434832HST,HUMANSDORP,6001
0434845HST,QUEENSTOWN,5320
0434858HST,KRUGERSDORP,1740
0434873JSE,SWARTRUGGENS,2835
0434899JSE,UNDERBERG,3257
0434913JSE,VEREENIGING,1876
0434941JSE,LYDENBURG,1120
0434954JSE,ZEERUST,2865
0434982JSE,QUEENSTOWN,5322
0434995HST,DELAREYVILLE,2760
0434995JSE,DELAREYVILLE,2760
0435018HST,BOSHOF,9348
0437838HST,VEREENIGING,1960
0437840HST,MIDDELBURG(TVL),1050
0437622HST,BALFOUR,2415
0489882JSE,HUMANSDORP,6304
0437906HST,JOUBERTINA,6440
0437958JSE,LINDLEY,9630
0437385JSE,FOURIESBURG,9725
0437336HST,ESTCOURT,3340
0437349HST,ALIWAL-NORTH,5530
0434749HST,DELMAS,1511
0434751HST,MARQUARD,9610
0489534HST,HEILBRON,9650
0060411HST,DURBAN,4029
0060437HST,STANDERTON,2430
0060424HST,BLOEMFONTEIN,9900
0060440HST,TAUNG,8575
0060452HST,BEDFORD,5780
0060465HST,MARQUARD,9610
0060478HST,VENTERSBURG,9450
0060480HST,HARTSWATER,8570
0433612JSE,PINETOWN,3652
0433638HST,BETHLEHEM,9700
0433640HST,LADY GREY,5540
0433653HST,STANDERTON,2430
0433666HST,STANDERTON,2430
0434642JSE,VEREENIGING,1944
0434670HST,DELAREYVILLE,2770
0434696HST,BETHLEHEM,9700
0434708HST,KLERKSDORP,2600
0060655HST,FICKSBURG,9720
